Schedule,S.No.,Tariff Item (HSN),Description of Goods,CGST Rate (%),SGST/UTGST Rate (%),IGST Rate (%),Compensation Cess
I,1,"20,202,030,204,020,500,000,000,000,000,000,000",All goods [other than fresh or chilled] pre-packaged and labelled,2.50%,2.50%,5%,
I,2,"303,030,403,050,306,000,000,000,000",All goods [other than fresh or chilled] pre-packaged and labelled,2.50%,2.50%,5%,
I,7,401,Ultra High Temperature (UHT) milk,2.50%,2.50%,5%,
I,8,402,"Milk and cream, concentrated or containing added sugar or other sweetening matter, including skimmed milk powder, milk food for babies [other than condensed milk]",2.50%,2.50%,5%,
I,9,403,"Yoghurt; Cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar",2.50%,2.50%,5%,
I,9A,403,"Curd, Lassi, Butter milk, pre-packaged and labelled",2.50%,2.50%,5%,
I,10,404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter",2.50%,2.50%,5%,
I,11,406,Chena or paneer pre-packaged and labelled,2.50%,2.50%,5%,
I,12,408,"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked",2.50%,2.50%,5%,
I,13,409,Natural honey pre-packaged and labelled,2.50%,2.50%,5%,
I,14,410,"Insects and other edible products of animal origin, not elsewhere specified or included",2.50%,2.50%,5%,
I,15,502,"Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair",2.50%,2.50%,5%,
I,16,504,All goods [other than fresh or chilled] pre-packaged and labelled,2.50%,2.50%,5%,
I,17,505,Skins and other parts of birds with feathers or down; feathers and parts of feathers,2.50%,2.50%,5%,
I,18,0507 [Except 050790],"Ivory, tortoise-shell, whalebone and whalebone hair, horns, unworked or simply prepared",2.50%,2.50%,5%,
I,19,508,"Coral and similar materials, unworked or simply prepared",2.50%,2.50%,5%,
I,20,510,"Ambergris, castoreum, civet and musk; cantharides; bile",2.50%,2.50%,5%,
I,21,511,Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3,2.50%,2.50%,5%,
I,22,7,"Herb, bark, dry plant, dry root, commonly known as Jaribooti and dry flower",2.50%,2.50%,5%,
I,25,713,"Dried leguminous vegetables, shelled, whether or not skinned or split pre-packaged and labelled",2.50%,2.50%,5%,
I,26,714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots pre-packaged and labelled",2.50%,2.50%,5%,
I,27,801,"Cashew nuts, whether or not shelled or peeled, desiccated coconuts",2.50%,2.50%,5%,
I,28,802,"Dried areca nuts, whether or not shelled or peeled",2.50%,2.50%,5%,
I,29,"8,020,813","Dried chestnuts (singhada), whether or not shelled or peeled",2.50%,2.50%,5%,
I,29A,802,"Walnuts, whether or not shelled",2.50%,2.50%,5%,
I,30,8,"Dried makhana, whether or not shelled or peeled pre-packaged and labelled",2.50%,2.50%,5%,
I,30A,804,"Mangoes sliced, dried",2.50%,2.50%,5%,
I,31,806,"Grapes, dried, and raisins",2.50%,2.50%,5%,
I,32,811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen",2.50%,2.50%,5%,
I,33,812,"Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine)",2.50%,2.50%,5%,
I,34,814,"Peel of citrus fruit or melons (including watermelons), frozen, dried",2.50%,2.50%,5%,
I,35,902,"Coffee, whether or not flavoured [other than unprocessed green leaves of tea]",2.50%,2.50%,5%,
I,36,902,Tea or mate,2.50%,2.50%,5%,
I,37,903,Maté,2.50%,2.50%,5%,
I,38,904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta,2.50%,2.50%,5%,
I,39,905,Vanilla,2.50%,2.50%,5%,
I,40,906,Cinnamon and cinnamon-tree flowers,2.50%,2.50%,5%,
I,41,907,"Cloves (whole fruit, cloves and stems)",2.50%,2.50%,5%,
