S.No.,Chapter / Section / Heading,Description of Service,CGST Rate (%),SGST/UTGST Rate (%),IGST Rate (%),Condition
1,Chapter 99,All Services,,,,
2,Section 5,Construction Services,,,,
3,Heading 9954 (Construction services),"(i) Construction of affordable residential apartments by a promoter in a Residential Real Estate Project (RREP) which commences on or after 1st April, 2019 or in an ongoing RREP where promoter has not exercised option to pay integrated tax on construction of apartments at rates specified for item (ie) or (if), intended for sale to a buyer, wholly or partly, except where entire consideration received after issuance of completion certificate or first occupation. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",0.75,0.75,1.5,Integrated tax at specified rate shall be paid in cash by debiting electronic cash ledger only; credit of input tax on goods and services used in supplying the service has not been taken except as prescribed in Annexure I (REP other than RREP) and Annexure II (RREP); registered person shall pay amount equivalent to input tax credit attributable to construction in a project with time of supply on or after 1st April 2019
3,Heading 9954 (Construction services),"(ia) Construction of residential apartments other than affordable residential apartments by a promoter in an RREP which commences on or after 1st April, 2019 or in an ongoing RREP where promoter has not exercised option to pay integrated tax on construction of apartments at rates specified for item (ie) or (if), intended for sale to a buyer, wholly or partly, except where entire consideration received after issuance of completion certificate or first occupation. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",3.75,3.75,7.5,
3,Heading 9954 (Construction services),"(ib) Construction of commercial apartments (shops, offices, godowns etc.) by a promoter in an RREP which commences on or after 1st April, 2019 or in an ongoing RREP where promoter has not exercised option to pay integrated tax on construction of apartments at rates specified for item (ie) or (if), intended for sale to a buyer, wholly or partly, except where entire consideration received after issuance of completion certificate or first occupation. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",3.75,3.75,7.5,
3,Heading 9954 (Construction services),"(ic) Construction of affordable residential apartments by a promoter in a Real Estate Project (REP) other than RREP, which commences on or after 1st April, 2019 or in an ongoing REP other than RREP where promoter has not exercised option to pay integrated tax on construction of apartments at rates specified for item (ie) or (if), intended for sale to a buyer, wholly or partly, except where entire consideration received after issuance of completion certificate or first occupation. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",0.75,0.75,1.5,
3,Heading 9954 (Construction services),"(id) Construction of residential apartments other than affordable residential apartments by a promoter in a REP other than RREP which commences on or after 1st April, 2019 or in an ongoing REP other than RREP where promoter has not exercised option to pay integrated tax on construction of apartments at rates specified for item (ie) or (if), intended for sale to a buyer, wholly or partly, except where entire consideration received after issuance of completion certificate or first occupation. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",3.75,3.75,7.5,
3,Heading 9954 (Construction services),"(ie) Construction of an apartment in an ongoing project under any of the schemes specified in sub-item (b), sub-item (c), sub-item (d), sub-item (da) and sub-item (db) of item (iv); sub-item (b), sub-item (c), sub-item (d) and sub-item (da) of item (v); and sub-item (c) of item (vi), against serial number 3 of the Table, in respect of which the promoter has exercised option to pay integrated tax on construction of apartments at the rates as specified for this item. (Provisions of paragraph 2 of this notification shall apply for valuation of this service)",6,6,12,Registered person shall exercise one time option in Form at Annexure IV by 20th May 2019 to pay integrated tax on construction of apartments at rates specified for item (ie) or (if)
3,Heading 9954 (Construction services),"(if) Construction of a complex, building, civil structure or a part thereof, including (i) commercial apartments (shops, offices, godowns etc.) by a promoter in a REP other than RREP, (ii) residential apartments in an ongoing project other than affordable residential apartments in respect of which the promoter has exercised option to pay integrated tax, but excluding supply by way of services specified at items (i), (ia), (ib), (ic), (id) and (ie) above, intended for sale to a buyer, wholly or partly, except where entire consideration received after issuance of completion certificate or first occupation.",9,9,18,
3,Heading 9954 (Construction services),"(vii) Composite supply of works contract as defined in clause (119) of section 2 of the CGST Act, 2017, involving predominantly earth work (that is, constituting more than 75 per cent. of the value of the works contract) provided to the Central Government, State Government, Union territory or a local authority.",6,6,12,
3,Heading 9954 (Construction services),"(viii) Composite supply of works contract as defined in clause (119) of section 2 of the CGST Act, 2017 and associated services, in respect of offshore works contract relating to oil and gas exploration and production (E&P) in the offshore area beyond 12 nautical miles from the nearest point of the appropriate base line.",6,6,12,
3,Heading 9954 (Construction services),"(x) Composite supply of works contract as defined in clause (119) of section 2 of the CGST Act, 2017 provided by a sub-contractor to the main contractor providing services specified in item (vii) above to the Central Government, State Government, Union territory or a local authority.",6,6,12,
3,Heading 9954 (Construction services),"(xi) Services by way of house-keeping, such as plumbing, carpentering, etc. where the person supplying such service through electronic commerce operator is not liable for registration under sub-section (1) of section 22 of the CGST Act, 2017.",2.5,2.5,5,Credit of input tax charged on goods and services has not been taken [Please refer to Explanation no. (iv)]
